  0%|          | 0/4390 [00:00<?, ?it/s]Column 'positive' is at index 0, whereas a column with this name is usually expected at index 1. Note that the column order can be important for some losses, e.g. MultipleNegativesRankingLoss will always consider the first column as the anchor and the second as the positive, regardless of the dataset column names. Consider renaming the columns to match the expected order, e.g.:
dataset = dataset.select_columns(['anchor', 'positive', 'negative'])
                                                  
{'loss': 2.3752, 'grad_norm': 77.42386627197266, 'learning_rate': 2.2779043280182232e-08, 'epoch': 0.02}
{'loss': 2.3147, 'grad_norm': 85.72818756103516, 'learning_rate': 4.5558086560364464e-08, 'epoch': 0.05}
{'loss': 2.2984, 'grad_norm': 40.91897201538086, 'learning_rate': 6.833712984054669e-08, 'epoch': 0.07}
{'loss': 2.2941, 'grad_norm': 81.97171020507812, 'learning_rate': 9.111617312072893e-08, 'epoch': 0.09}
{'loss': 2.3222, 'grad_norm': 24.545080184936523, 'learning_rate': 1.1389521640091115e-07, 'epoch': 0.11}
{'loss': 2.3384, 'grad_norm': 27.324237823486328, 'learning_rate': 1.3667425968109338e-07, 'epoch': 0.14}
{'loss': 2.2505, 'grad_norm': 24.068363189697266, 'learning_rate': 1.5945330296127562e-07, 'epoch': 0.16}
{'loss': 2.1404, 'grad_norm': 49.541709899902344, 'learning_rate': 1.8223234624145786e-07, 'epoch': 0.18}
{'loss': 2.1758, 'grad_norm': 33.42015838623047, 'learning_rate': 2.0501138952164007e-07, 'epoch': 0.21}
{'loss': 2.1861, 'grad_norm': 25.09197998046875, 'learning_rate': 2.277904328018223e-07, 'epoch': 0.23}
{'loss': 1.9816, 'grad_norm': 247.51840209960938, 'learning_rate': 2.5056947608200455e-07, 'epoch': 0.25}
{'loss': 1.9636, 'grad_norm': 58.01994705200195, 'learning_rate': 2.7334851936218676e-07, 'epoch': 0.27}
{'loss': 1.9884, 'grad_norm': 96.5851058959961, 'learning_rate': 2.9612756264236897e-07, 'epoch': 0.3}
{'loss': 1.9291, 'grad_norm': 48.442474365234375, 'learning_rate': 3.1890660592255124e-07, 'epoch': 0.32}
{'loss': 1.8012, 'grad_norm': 17.40929412841797, 'learning_rate': 3.4168564920273345e-07, 'epoch': 0.34}
{'loss': 1.8462, 'grad_norm': 17.266324996948242, 'learning_rate': 3.644646924829157e-07, 'epoch': 0.36}
{'loss': 1.7, 'grad_norm': 220.4840545654297, 'learning_rate': 3.872437357630979e-07, 'epoch': 0.39}
{'loss': 1.6183, 'grad_norm': 16.962913513183594, 'learning_rate': 4.1002277904328014e-07, 'epoch': 0.41}
{'loss': 1.5026, 'grad_norm': 15.509139060974121, 'learning_rate': 4.328018223234624e-07, 'epoch': 0.43}
{'loss': 1.4833, 'grad_norm': 21.784563064575195, 'learning_rate': 4.555808656036446e-07, 'epoch': 0.46}
{'loss': 1.5149, 'grad_norm': 19.369003295898438, 'learning_rate': 4.783599088838269e-07, 'epoch': 0.48}
{'loss': 1.4697, 'grad_norm': 29.135318756103516, 'learning_rate': 5.011389521640091e-07, 'epoch': 0.5}
{'loss': 1.3315, 'grad_norm': 13.544928550720215, 'learning_rate': 5.239179954441913e-07, 'epoch': 0.52}
{'loss': 1.2525, 'grad_norm': 16.1737003326416, 'learning_rate': 5.466970387243735e-07, 'epoch': 0.55}
{'loss': 1.4818, 'grad_norm': 16.944055557250977, 'learning_rate': 5.694760820045557e-07, 'epoch': 0.57}
{'loss': 1.1697, 'grad_norm': 14.338189125061035, 'learning_rate': 5.922551252847379e-07, 'epoch': 0.59}
{'loss': 1.1283, 'grad_norm': 26.578310012817383, 'learning_rate': 6.150341685649203e-07, 'epoch': 0.62}
{'loss': 1.249, 'grad_norm': 19.603757858276367, 'learning_rate': 6.378132118451025e-07, 'epoch': 0.64}
{'loss': 1.1923, 'grad_norm': 15.460501670837402, 'learning_rate': 6.605922551252847e-07, 'epoch': 0.66}
{'loss': 1.1699, 'grad_norm': 27.313552856445312, 'learning_rate': 6.833712984054669e-07, 'epoch': 0.68}
{'loss': 1.1114, 'grad_norm': 89.2599868774414, 'learning_rate': 7.061503416856491e-07, 'epoch': 0.71}
{'loss': 1.1526, 'grad_norm': 21.710643768310547, 'learning_rate': 7.289293849658314e-07, 'epoch': 0.73}
{'loss': 1.0342, 'grad_norm': 10.36090087890625, 'learning_rate': 7.517084282460136e-07, 'epoch': 0.75}
{'loss': 1.0441, 'grad_norm': 11.320173263549805, 'learning_rate': 7.744874715261959e-07, 'epoch': 0.77}
{'loss': 1.0682, 'grad_norm': 8.950531005859375, 'learning_rate': 7.972665148063781e-07, 'epoch': 0.8}
{'loss': 1.0363, 'grad_norm': 99.12554168701172, 'learning_rate': 8.200455580865603e-07, 'epoch': 0.82}
{'loss': 0.9295, 'grad_norm': 13.580839157104492, 'learning_rate': 8.428246013667426e-07, 'epoch': 0.84}
{'loss': 1.001, 'grad_norm': 39.076358795166016, 'learning_rate': 8.656036446469248e-07, 'epoch': 0.87}
{'loss': 0.9954, 'grad_norm': 11.649643898010254, 'learning_rate': 8.88382687927107e-07, 'epoch': 0.89}
{'loss': 0.9803, 'grad_norm': 94.51859283447266, 'learning_rate': 9.111617312072892e-07, 'epoch': 0.91}
{'loss': 0.9923, 'grad_norm': 109.51129913330078, 'learning_rate': 9.339407744874714e-07, 'epoch': 0.93}
{'loss': 0.8859, 'grad_norm': 23.1085262298584, 'learning_rate': 9.567198177676538e-07, 'epoch': 0.96}
{'loss': 0.8754, 'grad_norm': 41.0162239074707, 'learning_rate': 9.794988610478359e-07, 'epoch': 0.98}
{'eval_dim_768_cosine_accuracy@1': 0.38294375456537616, 'eval_dim_768_cosine_accuracy@3': 0.5328707085463842, 'eval_dim_768_cosine_accuracy@5': 0.6026296566837107, 'eval_dim_768_cosine_accuracy@10': 0.6754930606281958, 'eval_dim_768_cosine_precision@1': 0.38294375456537616, 'eval_dim_768_cosine_precision@3': 0.17762356951546138, 'eval_dim_768_cosine_precision@5': 0.12052593133674215, 'eval_dim_768_cosine_precision@10': 0.06754930606281957, 'eval_dim_768_cosine_recall@1': 0.38294375456537616, 'eval_dim_768_cosine_recall@3': 0.5328707085463842, 'eval_dim_768_cosine_recall@5': 0.6026296566837107, 'eval_dim_768_cosine_recall@10': 0.6754930606281958, 'eval_dim_768_cosine_ndcg@10': 0.5220601482032261, 'eval_dim_768_cosine_mrr@10': 0.4736449528679265, 'eval_dim_768_cosine_map@100': 0.48230035365128526, 'eval_runtime': 8.5194, 'eval_samples_per_second': 0.0, 'eval_steps_per_second': 0.0, 'epoch': 1.0}
{'loss': 0.869, 'grad_norm': 11.6475830078125, 'learning_rate': 1e-06, 'epoch': 1.0}
{'loss': 0.9051, 'grad_norm': 12.831482887268066, 'learning_rate': 1e-06, 'epoch': 1.03}
{'loss': 0.8501, 'grad_norm': 23.806800842285156, 'learning_rate': 1e-06, 'epoch': 1.05}
{'loss': 0.8115, 'grad_norm': 13.279230117797852, 'learning_rate': 1e-06, 'epoch': 1.07}
{'loss': 0.8979, 'grad_norm': 11.97134017944336, 'learning_rate': 1e-06, 'epoch': 1.09}
{'loss': 0.945, 'grad_norm': 11.328426361083984, 'learning_rate': 1e-06, 'epoch': 1.12}
{'loss': 0.8224, 'grad_norm': 97.8408203125, 'learning_rate': 1e-06, 'epoch': 1.14}
{'loss': 0.8459, 'grad_norm': 44.12261962890625, 'learning_rate': 1e-06, 'epoch': 1.16}
{'loss': 0.7455, 'grad_norm': 11.010705947875977, 'learning_rate': 1e-06, 'epoch': 1.18}
{'loss': 0.809, 'grad_norm': 10.536219596862793, 'learning_rate': 1e-06, 'epoch': 1.21}
{'loss': 0.8208, 'grad_norm': 8.745628356933594, 'learning_rate': 1e-06, 'epoch': 1.23}
{'loss': 0.8216, 'grad_norm': 48.08076477050781, 'learning_rate': 1e-06, 'epoch': 1.25}
{'loss': 0.8216, 'grad_norm': 11.292830467224121, 'learning_rate': 1e-06, 'epoch': 1.28}
{'loss': 0.8353, 'grad_norm': 59.637840270996094, 'learning_rate': 1e-06, 'epoch': 1.3}
{'loss': 0.7925, 'grad_norm': 242.80055236816406, 'learning_rate': 1e-06, 'epoch': 1.32}
{'loss': 0.894, 'grad_norm': 56.37358856201172, 'learning_rate': 1e-06, 'epoch': 1.34}
{'loss': 0.7823, 'grad_norm': 222.73675537109375, 'learning_rate': 1e-06, 'epoch': 1.37}
{'loss': 0.7904, 'grad_norm': 8.683197021484375, 'learning_rate': 1e-06, 'epoch': 1.39}
{'loss': 0.8041, 'grad_norm': 15.241174697875977, 'learning_rate': 1e-06, 'epoch': 1.41}
{'loss': 0.8444, 'grad_norm': 18.78188133239746, 'learning_rate': 1e-06, 'epoch': 1.44}
{'loss': 0.7946, 'grad_norm': 15.827025413513184, 'learning_rate': 1e-06, 'epoch': 1.46}
{'loss': 0.7902, 'grad_norm': 10.788531303405762, 'learning_rate': 1e-06, 'epoch': 1.48}
{'loss': 0.7239, 'grad_norm': 11.853029251098633, 'learning_rate': 1e-06, 'epoch': 1.5}
{'loss': 0.8352, 'grad_norm': 51.54668426513672, 'learning_rate': 1e-06, 'epoch': 1.53}
{'loss': 0.6671, 'grad_norm': 14.441816329956055, 'learning_rate': 1e-06, 'epoch': 1.55}
{'loss': 0.7351, 'grad_norm': 9.953537940979004, 'learning_rate': 1e-06, 'epoch': 1.57}
{'loss': 0.6982, 'grad_norm': 9.708924293518066, 'learning_rate': 1e-06, 'epoch': 1.59}
{'loss': 0.6957, 'grad_norm': 27.273239135742188, 'learning_rate': 1e-06, 'epoch': 1.62}
{'loss': 0.75, 'grad_norm': 8.37514591217041, 'learning_rate': 1e-06, 'epoch': 1.64}
{'loss': 0.6542, 'grad_norm': 7.799105167388916, 'learning_rate': 1e-06, 'epoch': 1.66}
{'loss': 0.6439, 'grad_norm': 7.299291133880615, 'learning_rate': 1e-06, 'epoch': 1.69}
{'loss': 0.6711, 'grad_norm': 9.651254653930664, 'learning_rate': 1e-06, 'epoch': 1.71}
{'loss': 0.6546, 'grad_norm': 9.951598167419434, 'learning_rate': 1e-06, 'epoch': 1.73}
{'loss': 0.6056, 'grad_norm': 20.5401554107666, 'learning_rate': 1e-06, 'epoch': 1.75}
{'loss': 0.639, 'grad_norm': 7.76373291015625, 'learning_rate': 1e-06, 'epoch': 1.78}
{'loss': 0.7012, 'grad_norm': 23.997756958007812, 'learning_rate': 1e-06, 'epoch': 1.8}
{'loss': 0.678, 'grad_norm': 11.632820129394531, 'learning_rate': 1e-06, 'epoch': 1.82}
{'loss': 0.6617, 'grad_norm': 8.786890029907227, 'learning_rate': 1e-06, 'epoch': 1.85}
{'loss': 0.6421, 'grad_norm': 8.835121154785156, 'learning_rate': 1e-06, 'epoch': 1.87}
{'loss': 0.7025, 'grad_norm': 12.513925552368164, 'learning_rate': 1e-06, 'epoch': 1.89}
{'loss': 0.6961, 'grad_norm': 11.468613624572754, 'learning_rate': 1e-06, 'epoch': 1.91}
{'loss': 0.6163, 'grad_norm': 11.724711418151855, 'learning_rate': 1e-06, 'epoch': 1.94}
{'loss': 0.5918, 'grad_norm': 30.48227310180664, 'learning_rate': 1e-06, 'epoch': 1.96}
