  0%|          | 0/4390 [00:00<?, ?it/s]Column 'positive' is at index 0, whereas a column with this name is usually expected at index 1. Note that the column order can be important for some losses, e.g. MultipleNegativesRankingLoss will always consider the first column as the anchor and the second as the positive, regardless of the dataset column names. Consider renaming the columns to match the expected order, e.g.:
dataset = dataset.select_columns(['anchor', 'positive', 'negative'])
                                                  
{'loss': 0.9989, 'grad_norm': 11.632838249206543, 'learning_rate': 2.2779043280182232e-08, 'epoch': 0.02}
{'loss': 1.0333, 'grad_norm': 11.903887748718262, 'learning_rate': 4.5558086560364464e-08, 'epoch': 0.05}
{'loss': 1.0062, 'grad_norm': 12.246929168701172, 'learning_rate': 6.833712984054669e-08, 'epoch': 0.07}
{'loss': 0.9696, 'grad_norm': 13.135233879089355, 'learning_rate': 9.111617312072893e-08, 'epoch': 0.09}
{'loss': 1.0362, 'grad_norm': 12.163762092590332, 'learning_rate': 1.1389521640091115e-07, 'epoch': 0.11}
{'loss': 1.0471, 'grad_norm': 15.011266708374023, 'learning_rate': 1.3667425968109338e-07, 'epoch': 0.14}
{'loss': 0.8924, 'grad_norm': 12.580955505371094, 'learning_rate': 1.5945330296127562e-07, 'epoch': 0.16}
{'loss': 1.0582, 'grad_norm': 15.903345108032227, 'learning_rate': 1.8223234624145786e-07, 'epoch': 0.18}
{'loss': 0.9905, 'grad_norm': 11.832830429077148, 'learning_rate': 2.0501138952164007e-07, 'epoch': 0.21}
{'loss': 0.8518, 'grad_norm': 11.460073471069336, 'learning_rate': 2.277904328018223e-07, 'epoch': 0.23}
{'loss': 0.9854, 'grad_norm': 15.49189567565918, 'learning_rate': 2.5056947608200455e-07, 'epoch': 0.25}
{'loss': 0.9163, 'grad_norm': 14.855300903320312, 'learning_rate': 2.7334851936218676e-07, 'epoch': 0.27}
{'loss': 0.8787, 'grad_norm': 12.532861709594727, 'learning_rate': 2.9612756264236897e-07, 'epoch': 0.3}
{'loss': 0.9094, 'grad_norm': 11.687161445617676, 'learning_rate': 3.1890660592255124e-07, 'epoch': 0.32}
{'loss': 0.9724, 'grad_norm': 12.5671968460083, 'learning_rate': 3.4168564920273345e-07, 'epoch': 0.34}
{'loss': 0.8363, 'grad_norm': 11.582924842834473, 'learning_rate': 3.644646924829157e-07, 'epoch': 0.36}
{'loss': 0.8265, 'grad_norm': 12.96723747253418, 'learning_rate': 3.872437357630979e-07, 'epoch': 0.39}
{'loss': 0.8899, 'grad_norm': 11.857141494750977, 'learning_rate': 4.1002277904328014e-07, 'epoch': 0.41}
{'loss': 0.8546, 'grad_norm': 14.127240180969238, 'learning_rate': 4.328018223234624e-07, 'epoch': 0.43}
{'loss': 0.8407, 'grad_norm': 12.814643859863281, 'learning_rate': 4.555808656036446e-07, 'epoch': 0.46}
{'loss': 0.8777, 'grad_norm': 11.369263648986816, 'learning_rate': 4.783599088838269e-07, 'epoch': 0.48}
{'loss': 0.8295, 'grad_norm': 10.858755111694336, 'learning_rate': 5.011389521640091e-07, 'epoch': 0.5}
{'loss': 0.8217, 'grad_norm': 12.085684776306152, 'learning_rate': 5.239179954441913e-07, 'epoch': 0.52}
{'loss': 0.8917, 'grad_norm': 10.548008918762207, 'learning_rate': 5.466970387243735e-07, 'epoch': 0.55}
{'loss': 0.8631, 'grad_norm': 11.671653747558594, 'learning_rate': 5.694760820045557e-07, 'epoch': 0.57}
{'loss': 0.8022, 'grad_norm': 9.188488960266113, 'learning_rate': 5.922551252847379e-07, 'epoch': 0.59}
{'loss': 0.8425, 'grad_norm': 14.558290481567383, 'learning_rate': 6.150341685649203e-07, 'epoch': 0.62}
{'loss': 0.8106, 'grad_norm': 11.306466102600098, 'learning_rate': 6.378132118451025e-07, 'epoch': 0.64}
{'loss': 0.7096, 'grad_norm': 35.2464485168457, 'learning_rate': 6.605922551252847e-07, 'epoch': 0.66}
{'loss': 0.7938, 'grad_norm': 12.082529067993164, 'learning_rate': 6.833712984054669e-07, 'epoch': 0.68}
{'loss': 0.7367, 'grad_norm': 11.335970878601074, 'learning_rate': 7.061503416856491e-07, 'epoch': 0.71}
{'loss': 0.6911, 'grad_norm': 10.583674430847168, 'learning_rate': 7.289293849658314e-07, 'epoch': 0.73}
{'loss': 0.6833, 'grad_norm': 9.661412239074707, 'learning_rate': 7.517084282460136e-07, 'epoch': 0.75}
{'loss': 0.7389, 'grad_norm': 10.530747413635254, 'learning_rate': 7.744874715261959e-07, 'epoch': 0.77}
{'loss': 0.6942, 'grad_norm': 9.316136360168457, 'learning_rate': 7.972665148063781e-07, 'epoch': 0.8}
{'loss': 0.7545, 'grad_norm': 9.903099060058594, 'learning_rate': 8.200455580865603e-07, 'epoch': 0.82}
{'loss': 0.6991, 'grad_norm': 8.008665084838867, 'learning_rate': 8.428246013667426e-07, 'epoch': 0.84}
{'loss': 0.7249, 'grad_norm': 8.410699844360352, 'learning_rate': 8.656036446469248e-07, 'epoch': 0.87}
{'loss': 0.7679, 'grad_norm': 10.578658103942871, 'learning_rate': 8.88382687927107e-07, 'epoch': 0.89}
{'loss': 0.7172, 'grad_norm': 11.177227973937988, 'learning_rate': 9.111617312072892e-07, 'epoch': 0.91}
{'loss': 0.6802, 'grad_norm': 9.043292045593262, 'learning_rate': 9.339407744874714e-07, 'epoch': 0.93}
{'loss': 0.6891, 'grad_norm': 10.582979202270508, 'learning_rate': 9.567198177676538e-07, 'epoch': 0.96}
{'loss': 0.7469, 'grad_norm': 8.736363410949707, 'learning_rate': 9.794988610478359e-07, 'epoch': 0.98}
