  0%|                                                                                                                                                | 0/43805 [00:00<?, ?it/s]Column 'positive' is at index 0, whereas a column with this name is usually expected at index 1. Note that the column order can be important for some losses, e.g. MultipleNegativesRankingLoss will always consider the first column as the anchor and the second as the positive, regardless of the dataset column names. Consider renaming the columns to match the expected order, e.g.:
dataset = dataset.select_columns(['anchor', 'positive', 'negative'])
                                                                                                                                                                               
{'loss': 0.6897, 'grad_norm': 4.540143966674805, 'learning_rate': 2.2597580461081945e-08, 'epoch': 0.01}
{'loss': 0.6996, 'grad_norm': 4.427059650421143, 'learning_rate': 4.5423419310659664e-08, 'epoch': 0.02}
{'loss': 0.6943, 'grad_norm': 4.4465508460998535, 'learning_rate': 6.824925816023738e-08, 'epoch': 0.03}
{'loss': 0.6912, 'grad_norm': 4.008600234985352, 'learning_rate': 9.107509700981511e-08, 'epoch': 0.05}
{'loss': 0.6787, 'grad_norm': 4.60198450088501, 'learning_rate': 1.1390093585939282e-07, 'epoch': 0.06}
{'loss': 0.6537, 'grad_norm': 4.252258777618408, 'learning_rate': 1.3672677470897053e-07, 'epoch': 0.07}
{'loss': 0.6519, 'grad_norm': 3.767007350921631, 'learning_rate': 1.5955261355854827e-07, 'epoch': 0.08}
{'loss': 0.6488, 'grad_norm': 4.2624053955078125, 'learning_rate': 1.8237845240812598e-07, 'epoch': 0.09}
{'loss': 0.5757, 'grad_norm': 6.388105869293213, 'learning_rate': 2.0520429125770373e-07, 'epoch': 0.1}
{'loss': 0.5777, 'grad_norm': 3.599940538406372, 'learning_rate': 2.2803013010728141e-07, 'epoch': 0.11}
{'loss': 0.5409, 'grad_norm': 4.559414386749268, 'learning_rate': 2.508559689568592e-07, 'epoch': 0.13}
{'loss': 0.5125, 'grad_norm': 4.328416347503662, 'learning_rate': 2.7368180780643687e-07, 'epoch': 0.14}
{'loss': 0.5073, 'grad_norm': 3.8460726737976074, 'learning_rate': 2.9650764665601456e-07, 'epoch': 0.15}
{'loss': 0.4785, 'grad_norm': 4.05478572845459, 'learning_rate': 3.193334855055923e-07, 'epoch': 0.16}
{'loss': 0.4566, 'grad_norm': 4.053043365478516, 'learning_rate': 3.4215932435517004e-07, 'epoch': 0.17}
{'loss': 0.4143, 'grad_norm': 3.6315510272979736, 'learning_rate': 3.6498516320474773e-07, 'epoch': 0.18}
{'loss': 0.3682, 'grad_norm': 3.0826334953308105, 'learning_rate': 3.878110020543255e-07, 'epoch': 0.19}
{'loss': 0.3429, 'grad_norm': 4.218407154083252, 'learning_rate': 4.106368409039032e-07, 'epoch': 0.21}
{'loss': 0.3101, 'grad_norm': 4.607678413391113, 'learning_rate': 4.3346267975348096e-07, 'epoch': 0.22}
{'loss': 0.2864, 'grad_norm': 2.627920389175415, 'learning_rate': 4.562885186030586e-07, 'epoch': 0.23}
{'loss': 0.286, 'grad_norm': 3.975173234939575, 'learning_rate': 4.791143574526364e-07, 'epoch': 0.24}
{'loss': 0.2426, 'grad_norm': 2.3301308155059814, 'learning_rate': 5.019401963022141e-07, 'epoch': 0.25}
{'loss': 0.2173, 'grad_norm': 3.8198816776275635, 'learning_rate': 5.247660351517919e-07, 'epoch': 0.26}
{'loss': 0.2031, 'grad_norm': 4.58077335357666, 'learning_rate': 5.475918740013696e-07, 'epoch': 0.27}
{'loss': 0.1795, 'grad_norm': 2.6978583335876465, 'learning_rate': 5.704177128509471e-07, 'epoch': 0.29}
{'loss': 0.1733, 'grad_norm': 3.6142284870147705, 'learning_rate': 5.932435517005249e-07, 'epoch': 0.3}
{'loss': 0.1575, 'grad_norm': 2.5161800384521484, 'learning_rate': 6.160693905501026e-07, 'epoch': 0.31}
{'loss': 0.1493, 'grad_norm': 1.1251112222671509, 'learning_rate': 6.388952293996804e-07, 'epoch': 0.32}
{'loss': 0.1272, 'grad_norm': 2.5330400466918945, 'learning_rate': 6.617210682492581e-07, 'epoch': 0.33}
{'loss': 0.1099, 'grad_norm': 1.6603069305419922, 'learning_rate': 6.845469070988359e-07, 'epoch': 0.34}
{'loss': 0.1, 'grad_norm': 1.3852630853652954, 'learning_rate': 7.073727459484136e-07, 'epoch': 0.35}
{'loss': 0.0774, 'grad_norm': 1.30636727809906, 'learning_rate': 7.301985847979914e-07, 'epoch': 0.37}
{'loss': 0.0906, 'grad_norm': 1.5082635879516602, 'learning_rate': 7.53024423647569e-07, 'epoch': 0.38}
{'loss': 0.0865, 'grad_norm': 2.461153268814087, 'learning_rate': 7.758502624971467e-07, 'epoch': 0.39}
{'loss': 0.0787, 'grad_norm': 3.2401223182678223, 'learning_rate': 7.986761013467245e-07, 'epoch': 0.4}
{'loss': 0.0729, 'grad_norm': 13.827284812927246, 'learning_rate': 8.215019401963021e-07, 'epoch': 0.41}
{'loss': 0.0661, 'grad_norm': 4.000836372375488, 'learning_rate': 8.443277790458799e-07, 'epoch': 0.42}
{'loss': 0.0774, 'grad_norm': 9.437470436096191, 'learning_rate': 8.671536178954576e-07, 'epoch': 0.43}
{'loss': 0.0578, 'grad_norm': 0.10176544636487961, 'learning_rate': 8.899794567450354e-07, 'epoch': 0.45}
{'loss': 0.0582, 'grad_norm': 0.9308517575263977, 'learning_rate': 9.12805295594613e-07, 'epoch': 0.46}
{'loss': 0.0628, 'grad_norm': 1.5400052070617676, 'learning_rate': 9.356311344441907e-07, 'epoch': 0.47}
{'loss': 0.0511, 'grad_norm': 0.588130533695221, 'learning_rate': 9.584569732937685e-07, 'epoch': 0.48}
{'loss': 0.0626, 'grad_norm': 2.843222141265869, 'learning_rate': 9.81282812143346e-07, 'epoch': 0.49}
{'loss': 0.0511, 'grad_norm': 0.45140647888183594, 'learning_rate': 1e-06, 'epoch': 0.5}
{'loss': 0.0586, 'grad_norm': 6.202054023742676, 'learning_rate': 1e-06, 'epoch': 0.51}
{'loss': 0.0533, 'grad_norm': 0.16245052218437195, 'learning_rate': 1e-06, 'epoch': 0.53}
{'loss': 0.0485, 'grad_norm': 0.8789100050926208, 'learning_rate': 1e-06, 'epoch': 0.54}
{'loss': 0.0438, 'grad_norm': 1.0124574899673462, 'learning_rate': 1e-06, 'epoch': 0.55}
{'loss': 0.0371, 'grad_norm': 0.9890550374984741, 'learning_rate': 1e-06, 'epoch': 0.56}
{'loss': 0.0404, 'grad_norm': 1.1130664348602295, 'learning_rate': 1e-06, 'epoch': 0.57}
{'loss': 0.0388, 'grad_norm': 0.6238273978233337, 'learning_rate': 1e-06, 'epoch': 0.58}
{'loss': 0.0545, 'grad_norm': 2.03007435798645, 'learning_rate': 1e-06, 'epoch': 0.59}
{'loss': 0.0488, 'grad_norm': 4.6464972496032715, 'learning_rate': 1e-06, 'epoch': 0.6}
{'loss': 0.0355, 'grad_norm': 0.4493984282016754, 'learning_rate': 1e-06, 'epoch': 0.62}
{'loss': 0.0318, 'grad_norm': 0.37105289101600647, 'learning_rate': 1e-06, 'epoch': 0.63}
{'loss': 0.027, 'grad_norm': 0.3338967561721802, 'learning_rate': 1e-06, 'epoch': 0.64}
{'loss': 0.0401, 'grad_norm': 0.3364633619785309, 'learning_rate': 1e-06, 'epoch': 0.65}
{'loss': 0.0301, 'grad_norm': 4.426266670227051, 'learning_rate': 1e-06, 'epoch': 0.66}
{'loss': 0.0431, 'grad_norm': 8.43726634979248, 'learning_rate': 1e-06, 'epoch': 0.67}
{'loss': 0.0421, 'grad_norm': 3.644926071166992, 'learning_rate': 1e-06, 'epoch': 0.68}
{'loss': 0.0325, 'grad_norm': 0.4294671416282654, 'learning_rate': 1e-06, 'epoch': 0.7}
{'loss': 0.0479, 'grad_norm': 0.12868520617485046, 'learning_rate': 1e-06, 'epoch': 0.71}
{'loss': 0.0515, 'grad_norm': 1.5972243547439575, 'learning_rate': 1e-06, 'epoch': 0.72}
{'loss': 0.043, 'grad_norm': 0.04706859216094017, 'learning_rate': 1e-06, 'epoch': 0.73}
{'loss': 0.0309, 'grad_norm': 4.802494525909424, 'learning_rate': 1e-06, 'epoch': 0.74}
{'loss': 0.0358, 'grad_norm': 0.2758519649505615, 'learning_rate': 1e-06, 'epoch': 0.75}
{'loss': 0.034, 'grad_norm': 2.0510752201080322, 'learning_rate': 1e-06, 'epoch': 0.76}
{'loss': 0.0384, 'grad_norm': 0.2870112359523773, 'learning_rate': 1e-06, 'epoch': 0.78}
{'loss': 0.0437, 'grad_norm': 0.01965208165347576, 'learning_rate': 1e-06, 'epoch': 0.79}
{'loss': 0.0529, 'grad_norm': 0.6339645981788635, 'learning_rate': 1e-06, 'epoch': 0.8}
{'loss': 0.0337, 'grad_norm': 6.168882846832275, 'learning_rate': 1e-06, 'epoch': 0.81}
{'loss': 0.0172, 'grad_norm': 3.6210901737213135, 'learning_rate': 1e-06, 'epoch': 0.82}
{'loss': 0.0381, 'grad_norm': 0.21752089262008667, 'learning_rate': 1e-06, 'epoch': 0.83}
{'loss': 0.0426, 'grad_norm': 1.0547744035720825, 'learning_rate': 1e-06, 'epoch': 0.84}
{'loss': 0.0409, 'grad_norm': 0.04248133301734924, 'learning_rate': 1e-06, 'epoch': 0.86}
{'loss': 0.0256, 'grad_norm': 0.4746111333370209, 'learning_rate': 1e-06, 'epoch': 0.87}
{'loss': 0.0387, 'grad_norm': 0.06267740577459335, 'learning_rate': 1e-06, 'epoch': 0.88}
{'loss': 0.0251, 'grad_norm': 0.24400441348552704, 'learning_rate': 1e-06, 'epoch': 0.89}
{'loss': 0.0267, 'grad_norm': 0.11899588257074356, 'learning_rate': 1e-06, 'epoch': 0.9}
{'loss': 0.0225, 'grad_norm': 8.138687133789062, 'learning_rate': 1e-06, 'epoch': 0.91}
{'loss': 0.0271, 'grad_norm': 0.2793578505516052, 'learning_rate': 1e-06, 'epoch': 0.92}
{'loss': 0.0346, 'grad_norm': 12.477537155151367, 'learning_rate': 1e-06, 'epoch': 0.94}
{'loss': 0.0372, 'grad_norm': 0.6901721358299255, 'learning_rate': 1e-06, 'epoch': 0.95}
{'loss': 0.0359, 'grad_norm': 0.03557763993740082, 'learning_rate': 1e-06, 'epoch': 0.96}
{'loss': 0.0344, 'grad_norm': 5.147091865539551, 'learning_rate': 1e-06, 'epoch': 0.97}
{'loss': 0.0307, 'grad_norm': 0.29166069626808167, 'learning_rate': 1e-06, 'epoch': 0.98}
{'loss': 0.0302, 'grad_norm': 0.08034435659646988, 'learning_rate': 1e-06, 'epoch': 0.99}
{'eval_dim_768_cosine_accuracy@1': 0.6694667640613586, 'eval_dim_768_cosine_accuracy@3': 0.7945580715850986, 'eval_dim_768_cosine_accuracy@5': 0.8318115412710008, 'eval_dim_768_cosine_accuracy@10': 0.8781957633308984, 'eval_dim_768_cosine_precision@1': 0.6694667640613586, 'eval_dim_768_cosine_precision@3': 0.2648526905283662, 'eval_dim_768_cosine_precision@5': 0.16636230825420012, 'eval_dim_768_cosine_precision@10': 0.08781957633308983, 'eval_dim_768_cosine_recall@1': 0.6694667640613586, 'eval_dim_768_cosine_recall@3': 0.7945580715850986, 'eval_dim_768_cosine_recall@5': 0.8318115412710008, 'eval_dim_768_cosine_recall@10': 0.8781957633308984, 'eval_dim_768_cosine_ndcg@10': 0.7733248626414672, 'eval_dim_768_cosine_mrr@10': 0.7398255881364012, 'eval_dim_768_cosine_map@100': 0.7443405983079235, 'eval_runtime': 15.3846, 'eval_samples_per_second': 0.0, 'eval_steps_per_second': 0.0, 'epoch': 1.0}
{'loss': 0.022, 'grad_norm': 0.3168942928314209, 'learning_rate': 1e-06, 'epoch': 1.0}
{'loss': 0.014, 'grad_norm': 0.16313281655311584, 'learning_rate': 1e-06, 'epoch': 1.02}
{'loss': 0.0317, 'grad_norm': 0.03274107724428177, 'learning_rate': 1e-06, 'epoch': 1.03}
{'loss': 0.0411, 'grad_norm': 0.9046003222465515, 'learning_rate': 1e-06, 'epoch': 1.04}
{'loss': 0.0261, 'grad_norm': 2.178494930267334, 'learning_rate': 1e-06, 'epoch': 1.05}
{'loss': 0.0434, 'grad_norm': 0.22686836123466492, 'learning_rate': 1e-06, 'epoch': 1.06}
{'loss': 0.0197, 'grad_norm': 0.33122575283050537, 'learning_rate': 1e-06, 'epoch': 1.07}
{'loss': 0.0576, 'grad_norm': 0.044327687472105026, 'learning_rate': 1e-06, 'epoch': 1.08}
{'loss': 0.0261, 'grad_norm': 0.06176355481147766, 'learning_rate': 1e-06, 'epoch': 1.1}
{'loss': 0.0346, 'grad_norm': 0.603485107421875, 'learning_rate': 1e-06, 'epoch': 1.11}
{'loss': 0.0116, 'grad_norm': 0.47766977548599243, 'learning_rate': 1e-06, 'epoch': 1.12}
{'loss': 0.038, 'grad_norm': 0.2841853201389313, 'learning_rate': 1e-06, 'epoch': 1.13}
{'loss': 0.0272, 'grad_norm': 0.44154366850852966, 'learning_rate': 1e-06, 'epoch': 1.14}
{'loss': 0.0284, 'grad_norm': 2.1925714015960693, 'learning_rate': 1e-06, 'epoch': 1.15}
{'loss': 0.0191, 'grad_norm': 6.363992214202881, 'learning_rate': 1e-06, 'epoch': 1.16}
{'loss': 0.0258, 'grad_norm': 0.1101006492972374, 'learning_rate': 1e-06, 'epoch': 1.18}
{'loss': 0.0272, 'grad_norm': 0.1766856461763382, 'learning_rate': 1e-06, 'epoch': 1.19}
{'loss': 0.0346, 'grad_norm': 0.2610265612602234, 'learning_rate': 1e-06, 'epoch': 1.2}
{'loss': 0.0263, 'grad_norm': 1.481370210647583, 'learning_rate': 1e-06, 'epoch': 1.21}
{'loss': 0.0213, 'grad_norm': 0.1412491649389267, 'learning_rate': 1e-06, 'epoch': 1.22}
{'loss': 0.0127, 'grad_norm': 0.029911983758211136, 'learning_rate': 1e-06, 'epoch': 1.23}
{'loss': 0.0235, 'grad_norm': 0.11391950398683548, 'learning_rate': 1e-06, 'epoch': 1.24}
{'loss': 0.0374, 'grad_norm': 0.11777975410223007, 'learning_rate': 1e-06, 'epoch': 1.26}
{'loss': 0.0269, 'grad_norm': 0.09711956232786179, 'learning_rate': 1e-06, 'epoch': 1.27}
{'loss': 0.0307, 'grad_norm': 7.136359691619873, 'learning_rate': 1e-06, 'epoch': 1.28}
{'loss': 0.0288, 'grad_norm': 0.07632339745759964, 'learning_rate': 1e-06, 'epoch': 1.29}
{'loss': 0.0259, 'grad_norm': 0.02059432864189148, 'learning_rate': 1e-06, 'epoch': 1.3}
{'loss': 0.0189, 'grad_norm': 0.2887190878391266, 'learning_rate': 1e-06, 'epoch': 1.31}
{'loss': 0.0171, 'grad_norm': 0.017898140475153923, 'learning_rate': 1e-06, 'epoch': 1.32}
{'loss': 0.0286, 'grad_norm': 0.16009587049484253, 'learning_rate': 1e-06, 'epoch': 1.34}
{'loss': 0.0192, 'grad_norm': 10.876127243041992, 'learning_rate': 1e-06, 'epoch': 1.35}
{'loss': 0.0124, 'grad_norm': 0.040003206580877304, 'learning_rate': 1e-06, 'epoch': 1.36}
{'loss': 0.0198, 'grad_norm': 1.2526535987854004, 'learning_rate': 1e-06, 'epoch': 1.37}
{'loss': 0.0167, 'grad_norm': 0.021484877914190292, 'learning_rate': 1e-06, 'epoch': 1.38}
{'loss': 0.0323, 'grad_norm': 0.0671137347817421, 'learning_rate': 1e-06, 'epoch': 1.39}
{'loss': 0.0226, 'grad_norm': 0.5859228372573853, 'learning_rate': 1e-06, 'epoch': 1.4}
{'loss': 0.0253, 'grad_norm': 0.015929587185382843, 'learning_rate': 1e-06, 'epoch': 1.42}
{'loss': 0.0385, 'grad_norm': 0.15527993440628052, 'learning_rate': 1e-06, 'epoch': 1.43}
{'loss': 0.0331, 'grad_norm': 0.2636244297027588, 'learning_rate': 1e-06, 'epoch': 1.44}
{'loss': 0.0134, 'grad_norm': 0.04685292765498161, 'learning_rate': 1e-06, 'epoch': 1.45}
{'loss': 0.0279, 'grad_norm': 0.10192693024873734, 'learning_rate': 1e-06, 'epoch': 1.46}
{'loss': 0.0301, 'grad_norm': 0.07596059143543243, 'learning_rate': 1e-06, 'epoch': 1.47}
{'loss': 0.0364, 'grad_norm': 0.6576752662658691, 'learning_rate': 1e-06, 'epoch': 1.48}
{'loss': 0.0205, 'grad_norm': 1.2395095825195312, 'learning_rate': 1e-06, 'epoch': 1.5}
{'loss': 0.0158, 'grad_norm': 0.07483599334955215, 'learning_rate': 1e-06, 'epoch': 1.51}
{'loss': 0.0176, 'grad_norm': 0.17694903910160065, 'learning_rate': 1e-06, 'epoch': 1.52}
{'loss': 0.0127, 'grad_norm': 0.014331737533211708, 'learning_rate': 1e-06, 'epoch': 1.53}
{'loss': 0.0389, 'grad_norm': 0.01178013626486063, 'learning_rate': 1e-06, 'epoch': 1.54}
{'loss': 0.0258, 'grad_norm': 0.044408731162548065, 'learning_rate': 1e-06, 'epoch': 1.55}
{'loss': 0.0234, 'grad_norm': 2.200143575668335, 'learning_rate': 1e-06, 'epoch': 1.56}
{'loss': 0.0367, 'grad_norm': 0.04508977755904198, 'learning_rate': 1e-06, 'epoch': 1.58}
{'loss': 0.0235, 'grad_norm': 25.514623641967773, 'learning_rate': 1e-06, 'epoch': 1.59}
{'loss': 0.0212, 'grad_norm': 5.605171203613281, 'learning_rate': 1e-06, 'epoch': 1.6}
{'loss': 0.0255, 'grad_norm': 6.183745861053467, 'learning_rate': 1e-06, 'epoch': 1.61}
{'loss': 0.0218, 'grad_norm': 0.4545084536075592, 'learning_rate': 1e-06, 'epoch': 1.62}
{'loss': 0.0271, 'grad_norm': 5.632514476776123, 'learning_rate': 1e-06, 'epoch': 1.63}
{'loss': 0.0175, 'grad_norm': 0.32137441635131836, 'learning_rate': 1e-06, 'epoch': 1.64}
{'loss': 0.0178, 'grad_norm': 0.01919342763721943, 'learning_rate': 1e-06, 'epoch': 1.66}
{'loss': 0.0252, 'grad_norm': 0.1722964346408844, 'learning_rate': 1e-06, 'epoch': 1.67}
{'loss': 0.0309, 'grad_norm': 4.97445821762085, 'learning_rate': 1e-06, 'epoch': 1.68}
{'loss': 0.0158, 'grad_norm': 0.6624126434326172, 'learning_rate': 1e-06, 'epoch': 1.69}
{'loss': 0.0273, 'grad_norm': 0.46811217069625854, 'learning_rate': 1e-06, 'epoch': 1.7}
{'loss': 0.0186, 'grad_norm': 0.013304215855896473, 'learning_rate': 1e-06, 'epoch': 1.71}
{'loss': 0.0371, 'grad_norm': 0.04163391888141632, 'learning_rate': 1e-06, 'epoch': 1.72}
{'loss': 0.0204, 'grad_norm': 0.3099975287914276, 'learning_rate': 1e-06, 'epoch': 1.73}
{'loss': 0.0306, 'grad_norm': 4.378660202026367, 'learning_rate': 1e-06, 'epoch': 1.75}
{'loss': 0.0324, 'grad_norm': 26.71647834777832, 'learning_rate': 1e-06, 'epoch': 1.76}
{'loss': 0.0175, 'grad_norm': 0.8251450657844543, 'learning_rate': 1e-06, 'epoch': 1.77}
{'loss': 0.0175, 'grad_norm': 0.13420815765857697, 'learning_rate': 1e-06, 'epoch': 1.78}
{'loss': 0.0203, 'grad_norm': 0.032346226274967194, 'learning_rate': 1e-06, 'epoch': 1.79}
