  0%|                                                                                                                                                              | 0/10955 [00:00<?, ?it/s]Column 'positive' is at index 0, whereas a column with this name is usually expected at index 1. Note that the column order can be important for some losses, e.g. MultipleNegativesRankingLoss will always consider the first column as the anchor and the second as the positive, regardless of the dataset column names. Consider renaming the columns to match the expected order, e.g.:
dataset = dataset.select_columns(['anchor', 'positive', 'negative'])
                                                                                                                                                                                             
{'loss': 2.7448, 'grad_norm': 17.568058013916016, 'learning_rate': 9.032846715328467e-08, 'epoch': 0.05}
{'loss': 2.6352, 'grad_norm': 14.41368579864502, 'learning_rate': 1.8156934306569342e-07, 'epoch': 0.09}
{'loss': 2.2428, 'grad_norm': 19.033973693847656, 'learning_rate': 2.728102189781022e-07, 'epoch': 0.14}
{'loss': 1.4994, 'grad_norm': 17.424489974975586, 'learning_rate': 3.6405109489051097e-07, 'epoch': 0.18}
{'loss': 0.739, 'grad_norm': 11.569737434387207, 'learning_rate': 4.552919708029197e-07, 'epoch': 0.23}
{'loss': 0.4447, 'grad_norm': 10.317938804626465, 'learning_rate': 5.465328467153284e-07, 'epoch': 0.27}
{'loss': 0.3981, 'grad_norm': 9.639464378356934, 'learning_rate': 6.377737226277372e-07, 'epoch': 0.32}
{'loss': 0.3488, 'grad_norm': 27.645999908447266, 'learning_rate': 7.290145985401459e-07, 'epoch': 0.37}
{'loss': 0.3181, 'grad_norm': 9.324333190917969, 'learning_rate': 8.202554744525547e-07, 'epoch': 0.41}
{'loss': 0.2791, 'grad_norm': 12.006278991699219, 'learning_rate': 9.114963503649634e-07, 'epoch': 0.46}
{'loss': 0.2307, 'grad_norm': 10.482272148132324, 'learning_rate': 1e-06, 'epoch': 0.5}
{'loss': 0.2203, 'grad_norm': 6.368743419647217, 'learning_rate': 1e-06, 'epoch': 0.55}
{'loss': 0.2233, 'grad_norm': 5.872171401977539, 'learning_rate': 1e-06, 'epoch': 0.59}
{'loss': 0.2094, 'grad_norm': 4.162300109863281, 'learning_rate': 1e-06, 'epoch': 0.64}
{'loss': 0.1915, 'grad_norm': 6.518040180206299, 'learning_rate': 1e-06, 'epoch': 0.68}
{'loss': 0.1533, 'grad_norm': 17.331043243408203, 'learning_rate': 1e-06, 'epoch': 0.73}
{'loss': 0.1625, 'grad_norm': 8.74959945678711, 'learning_rate': 1e-06, 'epoch': 0.78}
{'loss': 0.1947, 'grad_norm': 36.93067932128906, 'learning_rate': 1e-06, 'epoch': 0.82}
{'loss': 0.1638, 'grad_norm': 6.973418235778809, 'learning_rate': 1e-06, 'epoch': 0.87}
