                                                                                                                                                                                             
{'loss': 0.0331, 'grad_norm': 0.1549869030714035, 'learning_rate': 9.032846715328467e-08, 'epoch': 0.05}
{'loss': 0.0311, 'grad_norm': 0.2537751793861389, 'learning_rate': 1.8156934306569342e-07, 'epoch': 0.09}
{'loss': 0.0286, 'grad_norm': 0.20015479624271393, 'learning_rate': 2.728102189781022e-07, 'epoch': 0.14}
{'loss': 0.0244, 'grad_norm': 0.19835980236530304, 'learning_rate': 3.6405109489051097e-07, 'epoch': 0.18}
{'loss': 0.0198, 'grad_norm': 0.15755650401115417, 'learning_rate': 4.552919708029197e-07, 'epoch': 0.23}
{'loss': 0.0154, 'grad_norm': 0.19585809111595154, 'learning_rate': 5.465328467153284e-07, 'epoch': 0.27}
{'loss': 0.013, 'grad_norm': 0.14657434821128845, 'learning_rate': 6.377737226277372e-07, 'epoch': 0.32}
{'loss': 0.0114, 'grad_norm': 0.13364553451538086, 'learning_rate': 7.290145985401459e-07, 'epoch': 0.37}
{'loss': 0.0106, 'grad_norm': 0.12294157594442368, 'learning_rate': 8.202554744525547e-07, 'epoch': 0.41}
{'loss': 0.0098, 'grad_norm': 0.11550318449735641, 'learning_rate': 9.114963503649634e-07, 'epoch': 0.46}
{'loss': 0.0092, 'grad_norm': 0.12531247735023499, 'learning_rate': 1e-06, 'epoch': 0.5}
{'loss': 0.0093, 'grad_norm': 0.13985976576805115, 'learning_rate': 1e-06, 'epoch': 0.55}
{'loss': 0.0089, 'grad_norm': 0.07233263552188873, 'learning_rate': 1e-06, 'epoch': 0.59}
{'loss': 0.0088, 'grad_norm': 0.12214841693639755, 'learning_rate': 1e-06, 'epoch': 0.64}
{'loss': 0.0081, 'grad_norm': 0.2008781135082245, 'learning_rate': 1e-06, 'epoch': 0.68}
{'loss': 0.0086, 'grad_norm': 0.11803663522005081, 'learning_rate': 1e-06, 'epoch': 0.73}
{'loss': 0.0082, 'grad_norm': 0.14385662972927094, 'learning_rate': 1e-06, 'epoch': 0.78}
{'loss': 0.0079, 'grad_norm': 0.1853361278772354, 'learning_rate': 1e-06, 'epoch': 0.82}
{'loss': 0.0078, 'grad_norm': 0.09128862619400024, 'learning_rate': 1e-06, 'epoch': 0.87}
{'loss': 0.0076, 'grad_norm': 0.1019524484872818, 'learning_rate': 1e-06, 'epoch': 0.91}
{'loss': 0.0077, 'grad_norm': 0.12061140686273575, 'learning_rate': 1e-06, 'epoch': 0.96}
