  0%|                                                                                                                                                              | 0/43805 [00:00<?, ?it/s]Column 'positive' is at index 0, whereas a column with this name is usually expected at index 1. Note that the column order can be important for some losses, e.g. MultipleNegativesRankingLoss will always consider the first column as the anchor and the second as the positive, regardless of the dataset column names. Consider renaming the columns to match the expected order, e.g.:
dataset = dataset.select_columns(['anchor', 'positive', 'negative'])
                                                                                                                                                                                             
{'loss': 0.6966, 'grad_norm': 16.300649642944336, 'learning_rate': 2.282583884957772e-09, 'epoch': 0.0}
{'loss': 0.5908, 'grad_norm': 16.532840728759766, 'learning_rate': 4.565167769915544e-09, 'epoch': 0.0}
{'loss': 0.5875, 'grad_norm': 15.011274337768555, 'learning_rate': 6.847751654873316e-09, 'epoch': 0.0}
{'loss': 0.5194, 'grad_norm': 15.020827293395996, 'learning_rate': 9.130335539831088e-09, 'epoch': 0.0}
{'loss': 0.5944, 'grad_norm': 15.58914852142334, 'learning_rate': 1.1412919424788861e-08, 'epoch': 0.01}
{'loss': 0.5178, 'grad_norm': 14.545273780822754, 'learning_rate': 1.3695503309746632e-08, 'epoch': 0.01}
{'loss': 0.528, 'grad_norm': 19.427703857421875, 'learning_rate': 1.5978087194704403e-08, 'epoch': 0.01}
{'loss': 0.5242, 'grad_norm': 17.344655990600586, 'learning_rate': 1.8260671079662176e-08, 'epoch': 0.01}
{'loss': 0.5033, 'grad_norm': 16.514328002929688, 'learning_rate': 2.054325496461995e-08, 'epoch': 0.01}
{'loss': 0.5459, 'grad_norm': 19.800085067749023, 'learning_rate': 2.2825838849577722e-08, 'epoch': 0.01}
{'loss': 0.5297, 'grad_norm': 15.694703102111816, 'learning_rate': 2.5108422734535492e-08, 'epoch': 0.01}
{'loss': 0.5706, 'grad_norm': 14.364727973937988, 'learning_rate': 2.7391006619493265e-08, 'epoch': 0.01}
{'loss': 0.5411, 'grad_norm': 16.680217742919922, 'learning_rate': 2.9673590504451037e-08, 'epoch': 0.01}
{'loss': 0.5396, 'grad_norm': 18.678213119506836, 'learning_rate': 3.195617438940881e-08, 'epoch': 0.02}
{'loss': 0.5012, 'grad_norm': 28.81067657470703, 'learning_rate': 3.4238758274366586e-08, 'epoch': 0.02}
{'loss': 0.4976, 'grad_norm': 18.58031463623047, 'learning_rate': 3.652134215932435e-08, 'epoch': 0.02}
{'loss': 0.4286, 'grad_norm': 15.407805442810059, 'learning_rate': 3.8803926044282126e-08, 'epoch': 0.02}
{'loss': 0.4736, 'grad_norm': 14.28515338897705, 'learning_rate': 4.10865099292399e-08, 'epoch': 0.02}
{'loss': 0.4655, 'grad_norm': 14.609771728515625, 'learning_rate': 4.336909381419767e-08, 'epoch': 0.02}
{'loss': 0.5677, 'grad_norm': 16.07170867919922, 'learning_rate': 4.5651677699155444e-08, 'epoch': 0.02}
{'loss': 0.4418, 'grad_norm': 14.276026725769043, 'learning_rate': 4.793426158411321e-08, 'epoch': 0.02}
{'loss': 0.4828, 'grad_norm': 15.390920639038086, 'learning_rate': 5.0216845469070983e-08, 'epoch': 0.03}
{'loss': 0.5507, 'grad_norm': 23.332231521606445, 'learning_rate': 5.2499429354028756e-08, 'epoch': 0.03}
{'loss': 0.5141, 'grad_norm': 17.609317779541016, 'learning_rate': 5.478201323898653e-08, 'epoch': 0.03}
{'loss': 0.5036, 'grad_norm': 17.249486923217773, 'learning_rate': 5.70645971239443e-08, 'epoch': 0.03}
{'loss': 0.4388, 'grad_norm': 18.41879653930664, 'learning_rate': 5.9347181008902075e-08, 'epoch': 0.03}
{'loss': 0.4747, 'grad_norm': 15.480379104614258, 'learning_rate': 6.162976489385985e-08, 'epoch': 0.03}
{'loss': 0.5044, 'grad_norm': 15.27019214630127, 'learning_rate': 6.391234877881761e-08, 'epoch': 0.03}
{'loss': 0.4984, 'grad_norm': 15.69652271270752, 'learning_rate': 6.61949326637754e-08, 'epoch': 0.03}
{'loss': 0.4701, 'grad_norm': 11.835090637207031, 'learning_rate': 6.847751654873317e-08, 'epoch': 0.03}
{'loss': 0.4702, 'grad_norm': 13.303243637084961, 'learning_rate': 7.076010043369094e-08, 'epoch': 0.04}
{'loss': 0.3989, 'grad_norm': 14.735013961791992, 'learning_rate': 7.30426843186487e-08, 'epoch': 0.04}
{'loss': 0.4052, 'grad_norm': 11.663999557495117, 'learning_rate': 7.532526820360647e-08, 'epoch': 0.04}
{'loss': 0.4879, 'grad_norm': 14.359453201293945, 'learning_rate': 7.760785208856425e-08, 'epoch': 0.04}
{'loss': 0.5422, 'grad_norm': 15.25424575805664, 'learning_rate': 7.989043597352202e-08, 'epoch': 0.04}
{'loss': 0.4235, 'grad_norm': 13.115643501281738, 'learning_rate': 8.21730198584798e-08, 'epoch': 0.04}
{'loss': 0.4041, 'grad_norm': 12.753870964050293, 'learning_rate': 8.445560374343756e-08, 'epoch': 0.04}
{'loss': 0.4681, 'grad_norm': 15.612420082092285, 'learning_rate': 8.673818762839534e-08, 'epoch': 0.04}
{'loss': 0.4205, 'grad_norm': 13.038653373718262, 'learning_rate': 8.902077151335312e-08, 'epoch': 0.04}
{'loss': 0.4727, 'grad_norm': 11.977580070495605, 'learning_rate': 9.130335539831089e-08, 'epoch': 0.05}
{'loss': 0.4105, 'grad_norm': 12.96174144744873, 'learning_rate': 9.358593928326865e-08, 'epoch': 0.05}
{'loss': 0.3877, 'grad_norm': 17.335681915283203, 'learning_rate': 9.586852316822642e-08, 'epoch': 0.05}
{'loss': 0.3928, 'grad_norm': 13.612553596496582, 'learning_rate': 9.81511070531842e-08, 'epoch': 0.05}
{'loss': 0.4315, 'grad_norm': 17.55033302307129, 'learning_rate': 1.0043369093814197e-07, 'epoch': 0.05}
{'loss': 0.3812, 'grad_norm': 18.1706485748291, 'learning_rate': 1.0271627482309975e-07, 'epoch': 0.05}
{'loss': 0.3563, 'grad_norm': 15.605061531066895, 'learning_rate': 1.0499885870805751e-07, 'epoch': 0.05}
{'loss': 0.4663, 'grad_norm': 14.76152515411377, 'learning_rate': 1.0728144259301529e-07, 'epoch': 0.05}
{'loss': 0.4176, 'grad_norm': 15.028730392456055, 'learning_rate': 1.0956402647797306e-07, 'epoch': 0.05}
{'loss': 0.4708, 'grad_norm': 12.107056617736816, 'learning_rate': 1.1184661036293084e-07, 'epoch': 0.06}
{'loss': 0.4546, 'grad_norm': 16.199569702148438, 'learning_rate': 1.141291942478886e-07, 'epoch': 0.06}
{'loss': 0.3503, 'grad_norm': 15.187994956970215, 'learning_rate': 1.1641177813284637e-07, 'epoch': 0.06}
{'loss': 0.3712, 'grad_norm': 14.139216423034668, 'learning_rate': 1.1869436201780415e-07, 'epoch': 0.06}
{'loss': 0.3505, 'grad_norm': 12.764827728271484, 'learning_rate': 1.2097694590276192e-07, 'epoch': 0.06}
{'loss': 0.4064, 'grad_norm': 14.440560340881348, 'learning_rate': 1.232595297877197e-07, 'epoch': 0.06}
{'loss': 0.3492, 'grad_norm': 14.738107681274414, 'learning_rate': 1.2554211367267747e-07, 'epoch': 0.06}
{'loss': 0.3311, 'grad_norm': 13.489870071411133, 'learning_rate': 1.2782469755763523e-07, 'epoch': 0.06}
{'loss': 0.2944, 'grad_norm': 21.664859771728516, 'learning_rate': 1.30107281442593e-07, 'epoch': 0.07}
{'loss': 0.3112, 'grad_norm': 12.958818435668945, 'learning_rate': 1.323898653275508e-07, 'epoch': 0.07}
{'loss': 0.2833, 'grad_norm': 22.009008407592773, 'learning_rate': 1.3467244921250857e-07, 'epoch': 0.07}
{'loss': 0.2797, 'grad_norm': 13.888463020324707, 'learning_rate': 1.3695503309746635e-07, 'epoch': 0.07}
{'loss': 0.2635, 'grad_norm': 25.834667205810547, 'learning_rate': 1.392376169824241e-07, 'epoch': 0.07}
{'loss': 0.2826, 'grad_norm': 17.350582122802734, 'learning_rate': 1.4152020086738188e-07, 'epoch': 0.07}
